   z     mu      muerr
01 0.010 32.9538 0.145
02 0.012 33.8790 0.167
03 0.014 33.8421 0.078
04 0.016 34.1185 0.072
05 0.019 34.5934 0.085
06 0.023 34.9390 0.056
07 0.026 35.2520 0.061
08 0.031 35.7485 0.056
09 0.037 36.0697 0.056
10 0.043 36.4345 0.075
11 0.051 36.6511 0.092
12 0.060 37.1580 0.062
13 0.070 37.4301 0.065
14 0.082 37.9566 0.054
15 0.097 38.2532 0.059
16 0.114 38.6128 0.037
17 0.134 39.0678 0.038
18 0.158 39.3414 0.034
19 0.186 39.7921 0.032
20 0.218 40.1565 0.032
21 0.257 40.5649 0.031
22 0.302 40.9052 0.039
23 0.355 41.4214 0.033
24 0.418 41.7909 0.041
25 0.491 42.2314 0.039
26 0.578 42.6170 0.035
27 0.679 43.0527 0.062
28 0.799 43.5041 0.054
29 0.940 43.9725 0.066
30 1.105 44.5140 0.154
31 1.300 44.8218 0.138
