name zcmb zhel dz mb dmb 
0  0.0154 0.0154 0.0 14.8226378957 0.03045
1  0.0255 0.0255 0.0 15.9099787266 0.02315
2  0.0356 0.0356 0.0 16.6116991291 0.0239
3  0.047  0.047  0.0 17.2270183072 0.03485
4  0.0588 0.0588 0.0 17.6982676686 0.0409
5  0.0717 0.0717 0.0 18.2825112215 0.0622
6  0.0874 0.0874 0.0 18.6555484639 0.13695
7  0.1041 0.1041 0.0 19.1016913506 0.13695
8  0.1222 0.1222 0.0 19.4323634199 0.13695
9  0.1449 0.1449 0.0 19.8769918288 0.0462 
10 0.1634 0.1634 0.0 19.9192176451 0.0771
11 0.1876 0.1876 0.0 20.4930012864 0.0374
12 0.2147 0.2147 0.0 20.7620416894 0.03695
13 0.2412 0.2412 0.0 21.0478114981 0.02765
14 0.2857 0.2857 0.0 21.4576156975 0.0335
15 0.3253 0.3253 0.0 21.8260133827 0.0196
16 0.3835 0.3835 0.0 22.2351603111 0.02725
17 0.4505 0.4505 0.0 22.6238484146 0.0257
18 0.5546 0.5546 0.0 23.1515621655 0.029
19 0.7045 0.7045 0.0 23.7960692541 0.03145
